2022-01-21/22:32:52->> 		Connecting to `database1.db` 
2022-01-21/22:32:52->> 		Creating table with columns[predText,predCategory] 
2022-01-21/22:35:04->> 		Sucessfully entered data into TABLE predictions 
2022-01-22/14:56:26->> 		Connecting to `database1.db` 
2022-01-22/14:56:26->> 		table predictions already exists 
2022-01-22/14:58:32->> 		Sucessfully entered data into TABLE predictions 
2022-01-22/15:25:32->> 		Connecting to `database1.db` 
2022-01-22/15:25:32->> 		table predictions already exists 
2022-01-22/15:27:12->> 		Connecting to `database1.db` 
2022-01-22/15:27:12->> 		table predictions already exists 
2022-01-22/15:29:36->> 		Connecting to `database1.db` 
2022-01-22/15:29:36->> 		table predictions already exists 
2022-01-22/15:30:54->> 		Sucessfully entered data into TABLE predictions 
